source_id;source;source_url
det_1466;BHP Billiton (2007) Quarterly Production Report - June 2007;https://www.bhp.com/-/media/bhp/documents/investors/reports/2007/bhpbprodrptqe30jun07.pdf?la=en
det_1467;BHP Billiton (2005) Quarterly Production Report - June 2005;https://www.bhp.com/-/media/bhp/documents/investors/reports/2005/050728-bhp-billiton-prod-rpt-qe-30-jun-05.pdf?la=en
det_1468;BHP Billiton (2003) Quarterly Production Report - June 2003;https://www.bhp.com/-/media/bhp/documents/investors/reports/2003/nr2403productionreport24july2003.pdf?la=en
det_1469;Capstone Mining Corp (2020) Financial Statements and MD&A 2019;https://s2.q4cdn.com/231101920/files/doc_financials/2019/q4/CS-2019-Q4-Financials-MDA.pdf
det_1470;Capstone Mining Corp (2018) Financial Statements and MD&A 2017;https://s2.q4cdn.com/231101920/files/doc_financials/2017/q4/2017-12_CS_Financials-and-MDA.pdf
det_1471;Capstone Mining Corp (2016) Financial Statements and MD&A 2015;https://s2.q4cdn.com/231101920/files/doc_financials/q42015/2015-12-CS-FS_MDA.pdf
det_1472;South32 Limited (2019) Quarterly Report June 2019;https://www.south32.net/docs/default-source/all-financial-results/fy2019-quarterly-results/quarterly-report-june-2019.pdf?sfvrsn=1e5d5298_4
det_1473;South32 Limited (2017) Quarterly Report June 2017;https://www.south32.net/docs/default-source/all-financial-results/fy2017-quarterly-results/quarterly-report-june-2017_final-(asx).pdf?sfvrsn=9424756b_6
det_1474;South32 Limited (2015) Quarterly Report June 2015;https://www.south32.net/docs/default-source/all-financial-results/fy2015-quarterly-results/south32---june-quarterly-report-2015.pdf?sfvrsn=69592cef_4
det_1475;BHP Billiton (2004) Quarterly Production Report - June 2004;https://www.bhp.com/-/media/bhp/documents/investors/reports/2004/june04productionreport.pdf?la=en
det_1476;BHP Billiton (2002) Quarterly Production Report - June 2002;https://www.bhp.com/-/media/bhp/documents/investors/reports/2002/nr43productionreport.pdf?la=en
det_1477;BHP Group (2019) Annual Report 2019;https://www.bhp.com/-/media/documents/investors/annual-reports/2019/bhpannualreport2019.pdf
det_1478;BHP Billiton (2016) Annual Report 2016;https://www.bhp.com/-/media/bhp/documents/investors/annual-reports/2016/bhpbillitonannualreport2016.pdf?la=en
det_1479;Ok Tedi Limited (2020) Annual Review 2019;https://oktedi.com/who-we-are/annual-performance/
det_1480;Ok Tedi Limited (2018) Annual Review 2017;https://oktedi.com/who-we-are/annual-performance/
det_1481;Ok Tedi Limited (2017) Annual Review 2016;https://oktedi.com/who-we-are/annual-performance/
det_1482;Ok Tedi Limited (2013) Annual Review 2012;https://oktedi.com/who-we-are/annual-performance/
det_1483;Ok Tedi Limited (2009) Annual Review 2008;https://oktedi.com/who-we-are/annual-performance/
det_1484;Ok Tedi Limited (2007) Annual Review 2006;https://oktedi.com/who-we-are/annual-performance/
det_1485;Ok Tedi Limited (2005) Annual Review 2004;https://oktedi.com/who-we-are/annual-performance/
det_1486;Ok Tedi Limited (2003) Annual Review 2002;https://oktedi.com/who-we-are/annual-performance/
det_1487;Capstone Mining Corp (2014) Financial Statements and MD&A 2013;https://s2.q4cdn.com/231101920/files/doc_financials/q4%202013/2013-Q4.pdf
det_1488;Capstone Mining Corp (2012) Financial Statements and MD&A 2011;https://s2.q4cdn.com/231101920/files/doc_financials/q4%202011/2011-Q4.pdf
det_1489;Capstone Mining Corp (2010) Financial Statements and MD&A 2009;https://s2.q4cdn.com/231101920/files/doc_financials/q4%202009/2009Q4FS.pdf
det_1490;Capstone Mining Corp (2009) Financial Statements and MD&A 2008;https://s2.q4cdn.com/231101920/files/doc_financials/q4%202008/2008Q4FS.pdf
det_1491;Capstone Mining Corp Website (Capstone Mining Year-End and Fourth Quarter Results, 11/14/2007);https://capstonemining.com/news/news-details/2007/Capstone-Mining-Year-End-and-Fourth-Quarter-Results/default.aspx
det_1492;Pembridge Resources Plc. (2019) Competent Person's Report Minto Mine;https://www.pembridgeresources.com/component/rsfiles/download?path=Presentations%252FPEM-20190623_Minto%2BCPR%2BFinal%2BSigned.pdf
