mine_fac;sub_site;min_ore_con;type_mining;year;mine_processing
Iluka Western Australia;NA;O.bulk;NA;2018;NA
Iluka Western Australia;NA;O.bulk;NA;2017;NA
Iluka Western Australia;NA;O.bulk;NA;2016;NA
Iluka Western Australia;NA;O.bulk;NA;2015;NA
Iluka Western Australia;NA;O.bulk;NA;2014;NA
Iluka Western Australia;NA;O.bulk;NA;2013;NA
Iluka Western Australia;NA;O.bulk;NA;2012;NA
Iluka Western Australia;NA;O.bulk;NA;2011;NA
Iluka Western Australia;NA;O.bulk;NA;2010;NA
IMMSA - Charcas;NA;NA;NA;2013;NA
IMMSA - Charcas;NA;NA;NA;2012;NA
IMMSA - Charcas;NA;NA;NA;2011;NA
IMMSA - Charcas;NA;NA;NA;2010;NA
IMMSA - Charcas;NA;NA;NA;2009;NA
IMMSA - Charcas;NA;NA;NA;2008;NA
IMMSA - Charcas;NA;NA;NA;2007;NA
IMMSA - Charcas;NA;NA;NA;2006;NA
IMMSA - Charcas;NA;NA;NA;2005;NA
IMMSA - San Martin;NA;NA;NA;2007;NA
IMMSA - San Martin;NA;NA;NA;2006;NA
IMMSA - San Martin;NA;NA;NA;2005;NA
IMMSA - Santa Barbara;NA;NA;NA;2013;NA
IMMSA - Santa Barbara;NA;NA;NA;2012;NA
IMMSA - Santa Barbara;NA;NA;NA;2011;NA
IMMSA - Santa Barbara;NA;NA;NA;2010;NA
IMMSA - Santa Barbara;NA;NA;NA;2009;NA
IMMSA - Santa Barbara;NA;NA;NA;2008;NA
IMMSA - Santa Barbara;NA;NA;NA;2007;NA
IMMSA - Santa Barbara;NA;NA;NA;2006;NA
IMMSA - Santa Barbara;NA;NA;NA;2005;NA
IMMSA - Santa Eulalia;NA;NA;NA;2013;NA
IMMSA - Santa Eulalia;NA;NA;NA;2012;NA
IMMSA - Santa Eulalia;NA;NA;NA;2011;NA
IMMSA - Santa Eulalia;NA;NA;NA;2010;NA
IMMSA - Santa Eulalia;NA;NA;NA;2009;NA
IMMSA - Santa Eulalia;NA;NA;NA;2008;NA
IMMSA - Santa Eulalia;NA;NA;NA;2007;NA
IMMSA - Santa Eulalia;NA;NA;NA;2006;NA
IMMSA - Santa Eulalia;NA;NA;NA;2005;NA
IMMSA - Taxco;NA;NA;NA;2007;NA
IMMSA - Taxco;NA;NA;NA;2006;NA
IMMSA - Taxco;NA;NA;NA;2005;NA
Ingulets GOK;NA;Con.Fe;NA;2019;NA
Ingulets GOK;NA;Con.Fe;NA;2015;NA
Ingulets GOK;NA;Con.Fe;NA;2014;NA
Ingulets GOK;NA;Con.Fe;NA;2013;NA
Ingulets GOK;NA;Con.Fe;NA;2012;NA
Ingulets GOK;NA;Con.Fe;NA;2011;NA
Ingulets GOK;NA;Con.Fe;NA;2008;NA
Irtyshsky;NA;NA;NA;2014;NA
Irtyshsky;NA;NA;NA;2013;NA
Irtyshsky;NA;NA;NA;2012;NA
Irtyshsky;NA;NA;NA;2011;NA
Irtyshsky;NA;NA;NA;2010;NA
