mine_fac;match;n;mine_other_names;match.other_names;n.other_names;sub_site;match.sub_site;n.sub_site
Viking;Viking Mine - Knox Pit;2;;;;Knot;Knob Strip Mine;14
Viking;Viking Mine - Knox Pit;2;;;;Knot;Viking Mine - Knox Pit;14
Viking;Viking Mine - Knox Pit;2;;;;Knot;S-15 Flag Knob;14
Viking;Viking Mine - Knox Pit;2;;;;Knot;Knott County Auger 1;14
Viking;Viking Mine - Knox Pit;2;;;;Knot;Knob Bottom #1;14
Viking;Viking Mine - Knox Pit;2;;;;Knot;Knott County Mine;14
Viking;Viking Mine - Knox Pit;2;;;;Knot;North Knottsville Mine;14
Viking;Viking Mine - Knox Pit;2;;;;Knot;S-16 Gobblers Knob;14
Viking;Viking Mine - Knox Pit;2;;;;Knot;Round Knob;14
Viking;Viking Mine - Knox Pit;2;;;;Knot;G-P Knoxdale Mine;14
Viking;Viking Mine - Knox Pit;2;;;;Knot;Knob Creek;14
Viking;Viking Mine - Knox Pit;2;;;;Knot;Beacon Knob Mine;14
Viking;Viking Mine - Knox Pit;2;;;;Knot;Blue Knob Surface Mine;14
Viking;Viking Mine - Knox Pit;2;;;;Knot;Pollock Knob Surface Mine;14
Vindex;Vindex Douglas;1;Vindex Energy Corporation;;;;;
Vinton;Quinton;2;;;;;;
Vinton;Clinton Surface Mine;2;;;;;;
Viper;Viper Mine;2;Illinois, ICG Illinois;;;;;
Viper;Viper Coal Llc  6#;2;Illinois, ICG Illinois;;;;;
VP-8;Buck Run P-8 P-10;1;VP 8;Vp 8;1;;;
Wells;Weller Mine;5;Black Stallion, Campbell’s Creek No. 10, River’s Edge;;;;;
Wells;Campbells Creek 11b Mine;5;Black Stallion, Campbell’s Creek No. 10, River’s Edge;;;;;
Wells;Campbells Creek No 4;5;Black Stallion, Campbell’s Creek No. 10, River’s Edge;;;;;
Wells;Campbells Creek No 10 Mine;5;Black Stallion, Campbell’s Creek No. 10, River’s Edge;;;;;
Wells;Campbells Creek No 7 Mine;5;Black Stallion, Campbell’s Creek No. 10, River’s Edge;;;;;
West Elk;West Elk Mine;1;;;;;;
Wild Boar;Wild Boar Mine;1;;;;;;
Wildcat Hills/Cottage Grove;;;;;;Wildcat Hills;Wildcat Hills Mine - Cottage G;2
Wildcat Hills/Cottage Grove;;;;;;Wildcat Hills;Wildcat Hills Mine-Underground;2
Wildcat Hills/Cottage Grove;;;;;;Willow Lake;Willow Lake Portal;1
Windsor;Windsor Mine;1;;;;;;
